Experiment 2: sokoban-opt11-strips using gapdb_deep heuristic with 5000 probes



instance_name: p12_F_4.csv

A*:		{(0_gapdb, 1725),(1_gapdb, 1725),(2_ipdb, 861),(3_mands, 861),(4_lmcut, 861),(5_gapdb, 1725),(6_gapdb, 861),(7_gapdb, 1725),(8_gapdb, 861),(9_gapdb, 861),(10_gapdb, 1725),(11_gapdb, 861),(12_gapdb, 1725),}
ss:		{(0_gapdb, 103.038),(1_gapdb, 103.038),(2_ipdb, 53.054),(3_mands, 53.054),(4_lmcut, 53.054),(5_gapdb, 103.038),(6_gapdb, 53.054),(7_gapdb, 103.038),(8_gapdb, 53.054),(9_gapdb, 53.054),(10_gapdb, 103.038),(11_gapdb, 53.054),(12_gapdb, 103.038),}

Measure_1:

-A* h1/h2
	1	1	2.00348	2.00348	2.00348	1	2.00348	1	2.00348	2.00348	1	2.00348	1
	1	1	2.00348	2.00348	2.00348	1	2.00348	1	2.00348	2.00348	1	2.00348	1
	0.49913	0.49913	1	1	1	0.49913	1	0.49913	1	1	0.49913	1	0.49913
	0.49913	0.49913	1	1	1	0.49913	1	0.49913	1	1	0.49913	1	0.49913
	0.49913	0.49913	1	1	1	0.49913	1	0.49913	1	1	0.49913	1	0.49913
	1	1	2.00348	2.00348	2.00348	1	2.00348	1	2.00348	2.00348	1	2.00348	1
	0.49913	0.49913	1	1	1	0.49913	1	0.49913	1	1	0.49913	1	0.49913
	1	1	2.00348	2.00348	2.00348	1	2.00348	1	2.00348	2.00348	1	2.00348	1
	0.49913	0.49913	1	1	1	0.49913	1	0.49913	1	1	0.49913	1	0.49913
	0.49913	0.49913	1	1	1	0.49913	1	0.49913	1	1	0.49913	1	0.49913
	1	1	2.00348	2.00348	2.00348	1	2.00348	1	2.00348	2.00348	1	2.00348	1
	0.49913	0.49913	1	1	1	0.49913	1	0.49913	1	1	0.49913	1	0.49913
	1	1	2.00348	2.00348	2.00348	1	2.00348	1	2.00348	2.00348	1	2.00348	1

-ss h1/h2
	1	1	1.94213	1.94213	1.94213	1	1.94213	1	1.94213	1.94213	1	1.94213	1
	1	1	1.94213	1.94213	1.94213	1	1.94213	1	1.94213	1.94213	1	1.94213	1
	0.514897	0.514897	1	1	1	0.514897	1	0.514897	1	1	0.514897	1	0.514897
	0.514897	0.514897	1	1	1	0.514897	1	0.514897	1	1	0.514897	1	0.514897
	0.514897	0.514897	1	1	1	0.514897	1	0.514897	1	1	0.514897	1	0.514897
	1	1	1.94213	1.94213	1.94213	1	1.94213	1	1.94213	1.94213	1	1.94213	1
	0.514897	0.514897	1	1	1	0.514897	1	0.514897	1	1	0.514897	1	0.514897
	1	1	1.94213	1.94213	1.94213	1	1.94213	1	1.94213	1.94213	1	1.94213	1
	0.514897	0.514897	1	1	1	0.514897	1	0.514897	1	1	0.514897	1	0.514897
	0.514897	0.514897	1	1	1	0.514897	1	0.514897	1	1	0.514897	1	0.514897
	1	1	1.94213	1.94213	1.94213	1	1.94213	1	1.94213	1.94213	1	1.94213	1
	0.514897	0.514897	1	1	1	0.514897	1	0.514897	1	1	0.514897	1	0.514897
	1	1	1.94213	1.94213	1.94213	1	1.94213	1	1.94213	1.94213	1	1.94213	1

Measure_2:
- The heuristics that have the similar ratio are:
	(h1     ,h2     ):	fracss	-	fracastar	=	diff
	(7_gapdb, 5_gapdb):	1	-	1	=	0
	(7_gapdb, 10_gapdb):	1	-	1	=	0
	(7_gapdb, 12_gapdb):	1	-	1	=	0
	(8_gapdb, 2_ipdb):	1	-	1	=	0
	(8_gapdb, 3_mands):	1	-	1	=	0
	(8_gapdb, 4_lmcut):	1	-	1	=	0
	(8_gapdb, 6_gapdb):	1	-	1	=	0
	(8_gapdb, 9_gapdb):	1	-	1	=	0
	(8_gapdb, 11_gapdb):	1	-	1	=	0
	(9_gapdb, 2_ipdb):	1	-	1	=	0
	(9_gapdb, 3_mands):	1	-	1	=	0
	(9_gapdb, 4_lmcut):	1	-	1	=	0
	(9_gapdb, 6_gapdb):	1	-	1	=	0
	(9_gapdb, 8_gapdb):	1	-	1	=	0
	(9_gapdb, 11_gapdb):	1	-	1	=	0
	(10_gapdb, 0_gapdb):	1	-	1	=	0
	(10_gapdb, 1_gapdb):	1	-	1	=	0
	(10_gapdb, 5_gapdb):	1	-	1	=	0
	(10_gapdb, 7_gapdb):	1	-	1	=	0
	(10_gapdb, 12_gapdb):	1	-	1	=	0
	(11_gapdb, 2_ipdb):	1	-	1	=	0
	(11_gapdb, 3_mands):	1	-	1	=	0
	(11_gapdb, 4_lmcut):	1	-	1	=	0
	(11_gapdb, 6_gapdb):	1	-	1	=	0
	(11_gapdb, 8_gapdb):	1	-	1	=	0
	(11_gapdb, 9_gapdb):	1	-	1	=	0
	(12_gapdb, 0_gapdb):	1	-	1	=	0
	(12_gapdb, 1_gapdb):	1	-	1	=	0
	(12_gapdb, 5_gapdb):	1	-	1	=	0
	(12_gapdb, 7_gapdb):	1	-	1	=	0
	(12_gapdb, 10_gapdb):	1	-	1	=	0
	(2_ipdb, 0_gapdb):	0.514897	-	0.49913	=	0.015767
	(2_ipdb, 1_gapdb):	0.514897	-	0.49913	=	0.015767
	(2_ipdb, 5_gapdb):	0.514897	-	0.49913	=	0.015767
	(2_ipdb, 7_gapdb):	0.514897	-	0.49913	=	0.015767
	(2_ipdb, 10_gapdb):	0.514897	-	0.49913	=	0.015767
	(2_ipdb, 12_gapdb):	0.514897	-	0.49913	=	0.015767
	(3_mands, 0_gapdb):	0.514897	-	0.49913	=	0.015767
	(3_mands, 1_gapdb):	0.514897	-	0.49913	=	0.015767
	(3_mands, 5_gapdb):	0.514897	-	0.49913	=	0.015767
	(3_mands, 7_gapdb):	0.514897	-	0.49913	=	0.015767
	(3_mands, 10_gapdb):	0.514897	-	0.49913	=	0.015767
	(3_mands, 12_gapdb):	0.514897	-	0.49913	=	0.015767
	(4_lmcut, 0_gapdb):	0.514897	-	0.49913	=	0.015767
	(4_lmcut, 1_gapdb):	0.514897	-	0.49913	=	0.015767
	(4_lmcut, 5_gapdb):	0.514897	-	0.49913	=	0.015767
	(4_lmcut, 7_gapdb):	0.514897	-	0.49913	=	0.015767
	(4_lmcut, 10_gapdb):	0.514897	-	0.49913	=	0.015767
	(4_lmcut, 12_gapdb):	0.514897	-	0.49913	=	0.015767
	(6_gapdb, 0_gapdb):	0.514897	-	0.49913	=	0.015767
	(6_gapdb, 1_gapdb):	0.514897	-	0.49913	=	0.015767
	(6_gapdb, 5_gapdb):	0.514897	-	0.49913	=	0.015767
	(6_gapdb, 7_gapdb):	0.514897	-	0.49913	=	0.015767
	(6_gapdb, 10_gapdb):	0.514897	-	0.49913	=	0.015767
	(6_gapdb, 12_gapdb):	0.514897	-	0.49913	=	0.015767
	(8_gapdb, 0_gapdb):	0.514897	-	0.49913	=	0.015767
	(8_gapdb, 1_gapdb):	0.514897	-	0.49913	=	0.015767
	(8_gapdb, 5_gapdb):	0.514897	-	0.49913	=	0.015767
	(8_gapdb, 7_gapdb):	0.514897	-	0.49913	=	0.015767
	(8_gapdb, 10_gapdb):	0.514897	-	0.49913	=	0.015767
	(8_gapdb, 12_gapdb):	0.514897	-	0.49913	=	0.015767
	(9_gapdb, 0_gapdb):	0.514897	-	0.49913	=	0.015767
	(9_gapdb, 1_gapdb):	0.514897	-	0.49913	=	0.015767
	(9_gapdb, 5_gapdb):	0.514897	-	0.49913	=	0.015767
	(9_gapdb, 7_gapdb):	0.514897	-	0.49913	=	0.015767
	(9_gapdb, 10_gapdb):	0.514897	-	0.49913	=	0.015767
	(9_gapdb, 12_gapdb):	0.514897	-	0.49913	=	0.015767
	(11_gapdb, 0_gapdb):	0.514897	-	0.49913	=	0.015767
	(11_gapdb, 1_gapdb):	0.514897	-	0.49913	=	0.015767
	(11_gapdb, 5_gapdb):	0.514897	-	0.49913	=	0.015767
	(11_gapdb, 7_gapdb):	0.514897	-	0.49913	=	0.015767
	(11_gapdb, 10_gapdb):	0.514897	-	0.49913	=	0.015767
	(11_gapdb, 12_gapdb):	0.514897	-	0.49913	=	0.015767

Measure_3:
	-h1(13):		SS		A*
	0_gapdb		103.038		1725
	10_gapdb		103.038		1725
	11_gapdb		53.054		861
	12_gapdb		103.038		1725
	1_gapdb		103.038		1725
	2_ipdb		53.054		861
	3_mands		53.054		861
	4_lmcut		53.054		861
	5_gapdb		103.038		1725
	6_gapdb		53.054		861
	7_gapdb		103.038		1725
	8_gapdb		53.054		861
	9_gapdb		53.054		861

	-h2(13):		SS		A*
	0_gapdb		103.038		1725
	10_gapdb		103.038		1725
	11_gapdb		53.054		861
	12_gapdb		103.038		1725
	1_gapdb		103.038		1725
	2_ipdb		53.054		861
	3_mands		53.054		861
	4_lmcut		53.054		861
	5_gapdb		103.038		1725
	6_gapdb		53.054		861
	7_gapdb		103.038		1725
	8_gapdb		53.054		861
	9_gapdb		53.054		861

